colA,colB,colC,colD,colE,colF,colG,colH
$S_{O}$,g O$_2$ m$^{-3}$,XGBoost,$0.717$,$0.717$,$+0.000$,$0.784$,$0.784$
$S_{O}$,g O$_2$ m$^{-3}$,LightGBM,$0.690$,$0.690$,$-0.000$,$0.799$,$0.799$
$S_{O}$,g O$_2$ m$^{-3}$,CatBoost,$0.666$,$0.666$,$-0.000$,$0.813$,$0.813$
$S_{O}$,g O$_2$ m$^{-3}$,AdaBoost,$0.999$,$1.008$,$+0.009$,$0.579$,$0.572$
$S_{O}$,g O$_2$ m$^{-3}$,Random Forest,$1.408$,$1.410$,$+0.002$,$0.164$,$0.162$
$S_{O}$,g O$_2$ m$^{-3}$,Extra Trees,$1.007$,$1.018$,$+0.011$,$0.572$,$0.563$
$S_{O}$,g O$_2$ m$^{-3}$,SVR,$0.373$,$0.373$,$-0.000$,$0.941$,$0.941$
$S_{O}$,g O$_2$ m$^{-3}$,$k$-NN,$1.004$,$1.015$,$+0.011$,$0.575$,$0.566$
$S_{O}$,g O$_2$ m$^{-3}$,PLS,$0.695$,$0.619$,$-0.077$,$0.796$,$0.839$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Elastic Net,$0.676$,$0.496$,$-0.180$,$0.807$,$0.896$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Lasso,$0.676$,$0.496$,$-0.180$,$0.807$,$0.896$
$S_{O}$,g O$_2$ m$^{-3}$,MLP,$0.276$,$0.275$,$-0.001$,$0.968$,$0.968$
$S_{O}$,g O$_2$ m$^{-3}$,TabNet,$0.464$,$0.455$,$-0.008$,$0.909$,$0.913$
$S_{F}$,g COD m$^{-3}$,XGBoost,$2.951$,$2.951$,$-0.000$,$0.312$,$0.312$
$S_{F}$,g COD m$^{-3}$,LightGBM,$2.888$,$2.888$,$+0.000$,$0.342$,$0.342$
$S_{F}$,g COD m$^{-3}$,CatBoost,$2.865$,$2.865$,$-0.000$,$0.352$,$0.352$
$S_{F}$,g COD m$^{-3}$,AdaBoost,$3.050$,$3.689$,$+0.639$,$0.266$,$-0.074$
$S_{F}$,g COD m$^{-3}$,Random Forest,$3.517$,$4.755$,$+1.238$,$0.024$,$-0.785$
$S_{F}$,g COD m$^{-3}$,Extra Trees,$3.225$,$4.247$,$+1.022$,$0.179$,$-0.424$
$S_{F}$,g COD m$^{-3}$,SVR,$3.431$,$3.426$,$-0.005$,$0.071$,$0.074$
$S_{F}$,g COD m$^{-3}$,$k$-NN,$3.461$,$3.841$,$+0.379$,$0.054$,$-0.164$
$S_{F}$,g COD m$^{-3}$,PLS,$3.549$,$3.888$,$+0.339$,$0.006$,$-0.193$
$S_{F}$,g COD m$^{-3}$,Multi-task Elastic Net,$3.506$,$3.485$,$-0.020$,$0.030$,$0.041$
$S_{F}$,g COD m$^{-3}$,Multi-task Lasso,$3.506$,$3.485$,$-0.020$,$0.030$,$0.041$
$S_{F}$,g COD m$^{-3}$,MLP,$1.967$,$1.965$,$-0.002$,$0.695$,$0.695$
$S_{F}$,g COD m$^{-3}$,TabNet,$1.683$,$1.677$,$-0.006$,$0.776$,$0.778$
$S_{A}$,g COD m$^{-3}$,XGBoost,$0.288$,$0.288$,$-0.000$,$0.861$,$0.862$
$S_{A}$,g COD m$^{-3}$,LightGBM,$0.294$,$0.294$,$-0.000$,$0.855$,$0.855$
$S_{A}$,g COD m$^{-3}$,CatBoost,$0.284$,$0.282$,$-0.001$,$0.866$,$0.867$
$S_{A}$,g COD m$^{-3}$,AdaBoost,$0.545$,$0.569$,$+0.024$,$0.504$,$0.460$
$S_{A}$,g COD m$^{-3}$,Random Forest,$0.493$,$0.551$,$+0.058$,$0.594$,$0.494$
$S_{A}$,g COD m$^{-3}$,Extra Trees,$0.424$,$0.476$,$+0.051$,$0.699$,$0.622$
$S_{A}$,g COD m$^{-3}$,SVR,$0.554$,$0.409$,$-0.145$,$0.487$,$0.720$
$S_{A}$,g COD m$^{-3}$,$k$-NN,$0.581$,$0.595$,$+0.014$,$0.436$,$0.408$
$S_{A}$,g COD m$^{-3}$,PLS,$0.971$,$0.616$,$-0.355$,$-0.576$,$0.365$
$S_{A}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.955$,$0.545$,$-0.410$,$-0.524$,$0.503$
$S_{A}$,g COD m$^{-3}$,Multi-task Lasso,$0.955$,$0.545$,$-0.410$,$-0.525$,$0.503$
$S_{A}$,g COD m$^{-3}$,MLP,$0.197$,$0.177$,$-0.020$,$0.935$,$0.947$
$S_{A}$,g COD m$^{-3}$,TabNet,$0.449$,$0.448$,$-0.000$,$0.664$,$0.664$
$S_{NH4}$,g N m$^{-3}$,XGBoost,$0.827$,$0.471$,$-0.357$,$0.760$,$0.922$
$S_{NH4}$,g N m$^{-3}$,LightGBM,$0.809$,$0.478$,$-0.330$,$0.771$,$0.920$
$S_{NH4}$,g N m$^{-3}$,CatBoost,$0.797$,$0.449$,$-0.348$,$0.777$,$0.929$
$S_{NH4}$,g N m$^{-3}$,AdaBoost,$1.074$,$0.731$,$-0.343$,$0.596$,$0.813$
$S_{NH4}$,g N m$^{-3}$,Random Forest,$1.445$,$0.953$,$-0.492$,$0.267$,$0.682$
$S_{NH4}$,g N m$^{-3}$,Extra Trees,$1.209$,$0.649$,$-0.560$,$0.487$,$0.852$
$S_{NH4}$,g N m$^{-3}$,SVR,$0.748$,$0.536$,$-0.212$,$0.804$,$0.899$
$S_{NH4}$,g N m$^{-3}$,$k$-NN,$1.163$,$0.727$,$-0.437$,$0.525$,$0.815$
$S_{NH4}$,g N m$^{-3}$,PLS,$1.410$,$0.794$,$-0.616$,$0.303$,$0.779$
$S_{NH4}$,g N m$^{-3}$,Multi-task Elastic Net,$1.157$,$0.791$,$-0.366$,$0.530$,$0.780$
$S_{NH4}$,g N m$^{-3}$,Multi-task Lasso,$1.157$,$0.791$,$-0.366$,$0.530$,$0.780$
$S_{NH4}$,g N m$^{-3}$,MLP,$0.427$,$0.300$,$-0.128$,$0.936$,$0.968$
$S_{NH4}$,g N m$^{-3}$,TabNet,$0.287$,$0.248$,$-0.039$,$0.971$,$0.978$
$S_{NO2}$,g N m$^{-3}$,XGBoost,$1.186$,$1.136$,$-0.050$,$0.422$,$0.470$
$S_{NO2}$,g N m$^{-3}$,LightGBM,$1.203$,$1.163$,$-0.040$,$0.405$,$0.444$
$S_{NO2}$,g N m$^{-3}$,CatBoost,$1.180$,$1.134$,$-0.047$,$0.428$,$0.472$
$S_{NO2}$,g N m$^{-3}$,AdaBoost,$1.438$,$1.407$,$-0.031$,$0.151$,$0.187$
$S_{NO2}$,g N m$^{-3}$,Random Forest,$1.538$,$1.498$,$-0.040$,$0.029$,$0.078$
$S_{NO2}$,g N m$^{-3}$,Extra Trees,$1.285$,$1.203$,$-0.083$,$0.322$,$0.406$
$S_{NO2}$,g N m$^{-3}$,SVR,$1.378$,$1.106$,$-0.272$,$0.220$,$0.498$
$S_{NO2}$,g N m$^{-3}$,$k$-NN,$1.326$,$1.274$,$-0.052$,$0.278$,$0.334$
$S_{NO2}$,g N m$^{-3}$,PLS,$1.425$,$1.377$,$-0.047$,$0.167$,$0.221$
$S_{NO2}$,g N m$^{-3}$,Multi-task Elastic Net,$1.418$,$1.404$,$-0.014$,$0.175$,$0.190$
$S_{NO2}$,g N m$^{-3}$,Multi-task Lasso,$1.418$,$1.404$,$-0.014$,$0.175$,$0.190$
$S_{NO2}$,g N m$^{-3}$,MLP,$0.520$,$0.518$,$-0.002$,$0.889$,$0.890$
$S_{NO2}$,g N m$^{-3}$,TabNet,$0.826$,$0.823$,$-0.003$,$0.720$,$0.722$
$S_{NO3}$,g N m$^{-3}$,XGBoost,$0.792$,$0.725$,$-0.067$,$0.751$,$0.792$
$S_{NO3}$,g N m$^{-3}$,LightGBM,$0.789$,$0.733$,$-0.057$,$0.753$,$0.787$
$S_{NO3}$,g N m$^{-3}$,CatBoost,$0.770$,$0.708$,$-0.062$,$0.765$,$0.801$
$S_{NO3}$,g N m$^{-3}$,AdaBoost,$1.076$,$0.983$,$-0.093$,$0.541$,$0.617$
$S_{NO3}$,g N m$^{-3}$,Random Forest,$1.400$,$1.113$,$-0.287$,$0.223$,$0.509$
$S_{NO3}$,g N m$^{-3}$,Extra Trees,$1.009$,$0.875$,$-0.134$,$0.596$,$0.696$
$S_{NO3}$,g N m$^{-3}$,SVR,$0.859$,$0.719$,$-0.140$,$0.707$,$0.795$
$S_{NO3}$,g N m$^{-3}$,$k$-NN,$1.027$,$0.768$,$-0.259$,$0.582$,$0.766$
$S_{NO3}$,g N m$^{-3}$,PLS,$1.163$,$0.747$,$-0.416$,$0.464$,$0.779$
$S_{NO3}$,g N m$^{-3}$,Multi-task Elastic Net,$1.113$,$0.839$,$-0.274$,$0.509$,$0.721$
$S_{NO3}$,g N m$^{-3}$,Multi-task Lasso,$1.113$,$0.839$,$-0.274$,$0.509$,$0.721$
$S_{NO3}$,g N m$^{-3}$,MLP,$0.435$,$0.298$,$-0.138$,$0.925$,$0.965$
$S_{NO3}$,g N m$^{-3}$,TabNet,$0.509$,$0.294$,$-0.215$,$0.897$,$0.966$
$S_{N2}$,g N m$^{-3}$,XGBoost,$0.790$,$0.812$,$+0.022$,$0.591$,$0.568$
$S_{N2}$,g N m$^{-3}$,LightGBM,$0.809$,$0.845$,$+0.036$,$0.572$,$0.533$
$S_{N2}$,g N m$^{-3}$,CatBoost,$0.773$,$0.807$,$+0.035$,$0.609$,$0.574$
$S_{N2}$,g N m$^{-3}$,AdaBoost,$0.979$,$0.965$,$-0.013$,$0.373$,$0.390$
$S_{N2}$,g N m$^{-3}$,Random Forest,$1.087$,$1.031$,$-0.055$,$0.227$,$0.304$
$S_{N2}$,g N m$^{-3}$,Extra Trees,$0.906$,$0.934$,$+0.028$,$0.463$,$0.429$
$S_{N2}$,g N m$^{-3}$,SVR,$0.990$,$0.862$,$-0.128$,$0.359$,$0.514$
$S_{N2}$,g N m$^{-3}$,$k$-NN,$0.872$,$0.836$,$-0.036$,$0.503$,$0.543$
$S_{N2}$,g N m$^{-3}$,PLS,$1.046$,$0.974$,$-0.072$,$0.285$,$0.379$
$S_{N2}$,g N m$^{-3}$,Multi-task Elastic Net,$0.995$,$0.875$,$-0.120$,$0.353$,$0.499$
$S_{N2}$,g N m$^{-3}$,Multi-task Lasso,$0.995$,$0.875$,$-0.120$,$0.353$,$0.499$
$S_{N2}$,g N m$^{-3}$,MLP,$0.354$,$0.358$,$+0.004$,$0.918$,$0.916$
$S_{N2}$,g N m$^{-3}$,TabNet,$0.451$,$0.429$,$-0.021$,$0.867$,$0.879$
$S_{PO4}$,g P m$^{-3}$,XGBoost,$0.352$,$0.319$,$-0.033$,$0.872$,$0.895$
$S_{PO4}$,g P m$^{-3}$,LightGBM,$0.350$,$0.321$,$-0.029$,$0.874$,$0.894$
$S_{PO4}$,g P m$^{-3}$,CatBoost,$0.326$,$0.310$,$-0.016$,$0.891$,$0.901$
$S_{PO4}$,g P m$^{-3}$,AdaBoost,$0.627$,$0.555$,$-0.072$,$0.595$,$0.683$
