colA,colB,colC,colD,colE,colF,colG
COD,XGBoost,$0.105\pm0.005$,$0.191\pm0.008$,$+0.086\pm0.004$,$0.989\pm0.001$,$0.963\pm0.003$
COD,LightGBM,$0.094\pm0.006$,$0.188\pm0.005$,$+0.094\pm0.004$,$0.991\pm0.001$,$0.964\pm0.002$
COD,CatBoost,$0.069\pm0.003$,$0.141\pm0.007$,$+0.071\pm0.005$,$0.995\pm0.000$,$0.980\pm0.001$
COD,AdaBoost,$0.396\pm0.009$,$0.574\pm0.010$,$+0.177\pm0.010$,$0.842\pm0.009$,$0.670\pm0.012$
COD,Random Forest,$0.416\pm0.018$,$0.872\pm0.011$,$+0.456\pm0.016$,$0.827\pm0.007$,$0.238\pm0.039$
COD,Extra Trees,$0.555\pm0.023$,$0.650\pm0.019$,$+0.095\pm0.008$,$0.692\pm0.010$,$0.577\pm0.008$
COD,SVR,$0.115\pm0.005$,$0.214\pm0.007$,$+0.099\pm0.003$,$0.987\pm0.001$,$0.954\pm0.003$
COD,$k$-NN,$0.487\pm0.020$,$0.655\pm0.020$,$+0.168\pm0.004$,$0.762\pm0.007$,$0.570\pm0.011$
COD,PLS,$0.565\pm0.035$,$0.732\pm0.027$,$+0.167\pm0.013$,$0.681\pm0.030$,$0.464\pm0.028$
COD,Multi-task Elastic Net,$0.202\pm0.006$,$0.333\pm0.012$,$+0.131\pm0.009$,$0.959\pm0.002$,$0.889\pm0.004$
COD,Multi-task Lasso,$0.202\pm0.006$,$0.333\pm0.012$,$+0.131\pm0.009$,$0.959\pm0.002$,$0.889\pm0.004$
COD,MLP,$0.067\pm0.008$,$0.107\pm0.014$,$+0.040\pm0.007$,$0.995\pm0.001$,$0.988\pm0.003$
COD,TabNet,$0.188\pm0.049$,$0.285\pm0.035$,$+0.096\pm0.037$,$0.962\pm0.019$,$0.917\pm0.025$
TN,XGBoost,$0.226\pm0.009$,$0.180\pm0.007$,$-0.045\pm0.006$,$0.949\pm0.004$,$0.967\pm0.002$
TN,LightGBM,$0.221\pm0.010$,$0.180\pm0.007$,$-0.040\pm0.005$,$0.951\pm0.004$,$0.967\pm0.002$
TN,CatBoost,$0.194\pm0.002$,$0.164\pm0.007$,$-0.029\pm0.007$,$0.962\pm0.001$,$0.973\pm0.002$
