colA,colB,colC,colD,colE,colF,colG
COD,XGBoost,$0.283$,$0.382$,$+0.098$,$0.942$,$0.895$
COD,LightGBM,$0.263$,$0.346$,$+0.082$,$0.950$,$0.914$
COD,CatBoost,$0.255$,$0.332$,$+0.078$,$0.953$,$0.920$
COD,AdaBoost,$0.536$,$0.792$,$+0.256$,$0.793$,$0.547$
COD,Random Forest,$0.570$,$1.289$,$+0.719$,$0.765$,$-0.201$
COD,Extra Trees,$0.760$,$0.876$,$+0.116$,$0.582$,$0.445$
COD,SVR,$0.195$,$0.337$,$+0.142$,$0.972$,$0.918$
COD,$k$-NN,$0.634$,$0.832$,$+0.199$,$0.710$,$0.499$
COD,PLS,$0.778$,$0.839$,$+0.062$,$0.563$,$0.491$
COD,Multi-task Elastic Net,$0.298$,$0.450$,$+0.153$,$0.936$,$0.853$
COD,Multi-task Lasso,$0.298$,$0.450$,$+0.153$,$0.936$,$0.853$
COD,MLP,$0.104$,$0.167$,$+0.062$,$0.992$,$0.980$
COD,TabNet,$0.200$,$0.343$,$+0.143$,$0.971$,$0.915$
TN,XGBoost,$0.473$,$0.271$,$-0.203$,$0.869$,$0.957$
TN,LightGBM,$0.464$,$0.266$,$-0.198$,$0.874$,$0.959$
TN,CatBoost,$0.460$,$0.251$,$-0.209$,$0.876$,$0.963$
TN,AdaBoost,$0.699$,$0.404$,$-0.295$,$0.714$,$0.905$
TN,Random Forest,$1.397$,$0.458$,$-0.940$,$-0.141$,$0.878$
TN,Extra Trees,$0.901$,$0.329$,$-0.571$,$0.526$,$0.937$
TN,SVR,$0.417$,$0.308$,$-0.109$,$0.898$,$0.944$
TN,$k$-NN,$0.862$,$0.358$,$-0.504$,$0.566$,$0.925$
TN,PLS,$1.180$,$0.434$,$-0.746$,$0.187$,$0.890$
TN,Multi-task Elastic Net,$0.423$,$0.398$,$-0.026$,$0.895$,$0.908$
TN,Multi-task Lasso,$0.423$,$0.398$,$-0.026$,$0.895$,$0.908$
TN,MLP,$0.187$,$0.113$,$-0.073$,$0.980$,$0.993$
TN,TabNet,$0.367$,$0.160$,$-0.208$,$0.921$,$0.985$
TP,XGBoost,$0.137$,$0.000$,$-0.137$,$0.982$,$1.000$
TP,LightGBM,$0.122$,$0.000$,$-0.122$,$0.985$,$1.000$
TP,CatBoost,$0.096$,$0.000$,$-0.096$,$0.991$,$1.000$
TP,AdaBoost,$0.414$,$0.000$,$-0.414$,$0.833$,$1.000$
TP,Random Forest,$0.960$,$0.000$,$-0.960$,$0.102$,$1.000$
TP,Extra Trees,$0.748$,$0.000$,$-0.748$,$0.455$,$1.000$
TP,SVR,$0.130$,$0.000$,$-0.130$,$0.984$,$1.000$
TP,$k$-NN,$0.497$,$0.000$,$-0.496$,$0.760$,$1.000$
TP,PLS,$0.714$,$0.000$,$-0.714$,$0.504$,$1.000$
TP,Multi-task Elastic Net,$0.003$,$0.000$,$-0.003$,$1.000$,$1.000$
TP,Multi-task Lasso,$0.003$,$0.000$,$-0.003$,$1.000$,$1.000$
TP,MLP,$0.085$,$0.000$,$-0.085$,$0.993$,$1.000$
TP,TabNet,$0.236$,$0.000$,$-0.236$,$0.946$,$1.000$
TSS,XGBoost,$0.301$,$0.425$,$+0.124$,$0.937$,$0.875$
TSS,LightGBM,$0.285$,$0.381$,$+0.096$,$0.944$,$0.900$
TSS,CatBoost,$0.276$,$0.365$,$+0.089$,$0.947$,$0.908$
TSS,AdaBoost,$0.577$,$0.958$,$+0.381$,$0.770$,$0.366$
TSS,Random Forest,$0.642$,$1.532$,$+0.891$,$0.715$,$-0.622$
TSS,Extra Trees,$0.869$,$1.018$,$+0.149$,$0.479$,$0.285$
TSS,SVR,$0.229$,$0.406$,$+0.176$,$0.964$,$0.886$
TSS,$k$-NN,$0.670$,$0.925$,$+0.255$,$0.690$,$0.409$
TSS,PLS,$1.039$,$0.951$,$-0.088$,$0.254$,$0.375$
TSS,Multi-task Elastic Net,$0.284$,$0.504$,$+0.220$,$0.944$,$0.824$
TSS,Multi-task Lasso,$0.284$,$0.504$,$+0.220$,$0.944$,$0.824$
TSS,MLP,$0.131$,$0.212$,$+0.081$,$0.988$,$0.969$
TSS,TabNet,$0.269$,$0.471$,$+0.202$,$0.950$,$0.847$
