model,model_key,component,sample_size,folds,raw_negative_predictions,validation_predictions,raw_nonnegativity_violation_percent_mean,raw_nonnegativity_violation_percent_sample_sd
XGBoost,xgboost_regressor,S_O,10000,5,62,10000,0.62,0.3174114049620776
XGBoost,xgboost_regressor,S_F,10000,5,2,10000,0.02,0.0447213595499958
XGBoost,xgboost_regressor,S_A,10000,5,979,10000,9.790000000000001,3.0461861400774572
XGBoost,xgboost_regressor,S_NH4,10000,5,854,10000,8.540000000000001,2.218783450452071
XGBoost,xgboost_regressor,S_NO2,10000,5,1163,10000,11.629999999999999,1.2412695114277152
XGBoost,xgboost_regressor,S_NO3,10000,5,1103,10000,11.03,0.8621194812785522
XGBoost,xgboost_regressor,S_N2,10000,5,281,10000,2.81,0.815781833580523
XGBoost,xgboost_regressor,S_PO4,10000,5,205,10000,2.05,0.5968668193156661
XGBoost,xgboost_regressor,S_I,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,S_ALK,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_I,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_S,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_H,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_PAO,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_PP,10000,5,306,10000,3.06,0.32093613071762417
XGBoost,xgboost_regressor,X_PHA,10000,5,550,10000,5.5,0.8881159834165807
XGBoost,xgboost_regressor,X_AOB,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_NOB,10000,5,0,10000,0.0,0.0
XGBoost,xgboost_regressor,X_MeP,10000,5,6,10000,0.06000000000000001,0.041833001326703784
XGBoost,xgboost_regressor,X_MeOH,10000,5,63,10000,0.63,0.2841654447676564
LightGBM,lightgbm_regressor,S_O,10000,5,125,10000,1.25,0.4168333000133267
LightGBM,lightgbm_regressor,S_F,10000,5,13,10000,0.13,0.11510864433221338
LightGBM,lightgbm_regressor,S_A,10000,5,758,10000,7.58,1.3904136075283497
LightGBM,lightgbm_regressor,S_NH4,10000,5,1048,10000,10.48,0.4932038118263079
LightGBM,lightgbm_regressor,S_NO2,10000,5,1005,10000,10.05,1.4469796128487782
LightGBM,lightgbm_regressor,S_NO3,10000,5,1143,10000,11.43,0.9922197337283717
LightGBM,lightgbm_regressor,S_N2,10000,5,340,10000,3.4,0.19685019685029534
LightGBM,lightgbm_regressor,S_PO4,10000,5,229,10000,2.29,0.5594640292279747
LightGBM,lightgbm_regressor,S_I,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,S_ALK,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,X_I,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,X_S,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,X_H,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,X_PAO,10000,5,0,10000,0.0,0.0
LightGBM,lightgbm_regressor,X_PP,10000,5,347,10000,3.47,0.5729310604252488
LightGBM,lightgbm_regressor,X_PHA,10000,5,623,10000,6.2299999999999995,0.5652433104425038
