model,model_key,model_category,sample_size,prediction_type,nMSE_mean,nMSE_std,nRMSE_mean,nRMSE_std,nMAE_mean,nMAE_std,macro_R2_mean,macro_R2_std,fold_count
XGBoost,xgboost_regressor,Boosting,500,raw,0.1898907124393544,0.0202114576557266,0.4352706507576617,0.023188710301462,0.2388538241960685,0.0076705881021305,0.8065905397673566,0.0104551085471514,5
XGBoost,xgboost_regressor,Boosting,1450,raw,0.1278719268383975,0.0215928165730071,0.3565856782215789,0.029970421369537,0.1836967420766925,0.0078151885773452,0.8701750572022163,0.0154675933227615,5
XGBoost,xgboost_regressor,Boosting,2400,raw,0.1149077111775132,0.018150710646915,0.338198505811471,0.0257264903455978,0.1682484901927486,0.0063158856554528,0.8825902021666738,0.0071551444003029,5
XGBoost,xgboost_regressor,Boosting,3350,raw,0.0994741464354452,0.014647850664639,0.3147141690472906,0.0231608029955406,0.1561632743506648,0.0048876841570293,0.8999176481385145,0.009516776001732,5
XGBoost,xgboost_regressor,Boosting,4300,raw,0.088781139260995,0.004847355179097,0.2978713480046792,0.008200556297466,0.1472021301441184,0.0033369710994646,0.9103120230931896,0.007418377995124,5
XGBoost,xgboost_regressor,Boosting,5250,raw,0.0805107225524428,0.0045526179201952,0.2836544819321337,0.0079731919780969,0.1407270467023902,0.0033840309511654,0.9188256462852163,0.0075762847750154,5
XGBoost,xgboost_regressor,Boosting,6200,raw,0.0755640212023436,0.0053286124189783,0.2747543340717093,0.0096227017486781,0.1353458208185332,0.00328639794637,0.9243209231776992,0.0043746587319366,5
XGBoost,xgboost_regressor,Boosting,7150,raw,0.0723942862434285,0.0036584113918442,0.2689921657421866,0.0068466244197917,0.1318841262470422,0.0024517413196865,0.9279980946130246,0.0033641514395419,5
XGBoost,xgboost_regressor,Boosting,8100,raw,0.068660820692002,0.0026409215184549,0.2619936595441791,0.0050178494709796,0.1288197907365894,0.0027565292537385,0.9311809509784122,0.0032422204039482,5
XGBoost,xgboost_regressor,Boosting,9050,raw,0.0666650795880656,0.0030982443236361,0.2581403446296778,0.0059835255636665,0.1266673970150681,0.0025762212895976,0.933051078019006,0.0036357411234516,5
