model,model_key,sample_size,projected,raw,delta_nRMSE
AdaBoost,adaboost_regressor,500,0.5737215421687548,0.5496724035628391,0.024049138605915732
AdaBoost,adaboost_regressor,1450,0.5765475655465648,0.5241734648718134,0.052374100674751456
AdaBoost,adaboost_regressor,2400,0.5908906792292072,0.5287944446217624,0.062096234607444845
AdaBoost,adaboost_regressor,3350,0.5860257928865458,0.5253871497561503,0.060638643130395464
AdaBoost,adaboost_regressor,4300,0.5815343128712589,0.5290336819307262,0.0525006309405327
AdaBoost,adaboost_regressor,5250,0.5849515712832793,0.5262632964204716,0.0586882748628077
AdaBoost,adaboost_regressor,6200,0.5861223098613996,0.5248017336599358,0.061320576201463806
AdaBoost,adaboost_regressor,7150,0.582048334336922,0.5247675183546912,0.05728081598223089
AdaBoost,adaboost_regressor,8100,0.587094722351019,0.5244500782080476,0.06264464414297144
AdaBoost,adaboost_regressor,9050,0.5860756010553629,0.5251687061631289,0.060906894892234
AdaBoost,adaboost_regressor,10000,0.5811847306192451,0.5250348334195658,0.05614989719967933
CatBoost,catboost_regressor,500,0.5179096893783794,0.4926473941738297,0.025262295204549756
CatBoost,catboost_regressor,1450,0.3863841830361527,0.3513948065361606,0.034989376499992064
CatBoost,catboost_regressor,2400,0.3439201732939533,0.3183364813685969,0.025583691925356422
CatBoost,catboost_regressor,3350,0.3081565581179272,0.2882940325813526,0.019862525536574582
CatBoost,catboost_regressor,4300,0.2853429715817867,0.2766263757344628,0.008716595847323871
CatBoost,catboost_regressor,5250,0.272239964360528,0.2617915235666502,0.0104484407938778
CatBoost,catboost_regressor,6200,0.2650865322235594,0.2562497770102946,0.008836755213264769
CatBoost,catboost_regressor,7150,0.2556741235328861,0.2472011384354761,0.008472985097410013
CatBoost,catboost_regressor,8100,0.2366753174949472,0.2378030625997492,-0.0011277451048020137
CatBoost,catboost_regressor,9050,0.2383322277375437,0.2324391482923161,0.0058930794452276
CatBoost,catboost_regressor,10000,0.229035830746862,0.2303151741073203,-0.0012793433604582904
Extra Trees,extra_trees_regressor,500,0.8053695662778353,0.7109990985639527,0.09437046771388258
Extra Trees,extra_trees_regressor,1450,0.6912717699292162,0.6535052762526316,0.03776649367658469
Extra Trees,extra_trees_regressor,2400,0.6702368919529904,0.6333339425337641,0.03690294941922634
Extra Trees,extra_trees_regressor,3350,0.6793132726908296,0.6127729814215372,0.0665402912692924
Extra Trees,extra_trees_regressor,4300,0.6550028568714036,0.6000856154455843,0.05491724142581933
Extra Trees,extra_trees_regressor,5250,0.6445957262727857,0.5917961762980962,0.0527995499746895
Extra Trees,extra_trees_regressor,6200,0.6466464555187621,0.5834931491331163,0.06315330638564576
Extra Trees,extra_trees_regressor,7150,0.6320511164731174,0.5776796007270388,0.05437151574607857
Extra Trees,extra_trees_regressor,8100,0.6196139145099842,0.5713531917828752,0.04826072272710891
Extra Trees,extra_trees_regressor,9050,0.611936283746174,0.5670468816221985,0.04488940212397552
Extra Trees,extra_trees_regressor,10000,0.6076919246950778,0.5632222090621035,0.044469715632974305
LightGBM,lightgbm_regressor,500,0.44471422912606,0.4385979588032985,0.006116270322761519
LightGBM,lightgbm_regressor,1450,0.3722070301410015,0.3550570713281994,0.01714995881280207
LightGBM,lightgbm_regressor,2400,0.3356843727985702,0.3346403556272371,0.0010440171713331226
LightGBM,lightgbm_regressor,3350,0.3084023900715358,0.3076730300220806,0.0007293600494552299
LightGBM,lightgbm_regressor,4300,0.2913569599847784,0.2906904372238658,0.0006665227609126134
LightGBM,lightgbm_regressor,5250,0.2766761438111534,0.2755890031129976,0.0010871406981557974
LightGBM,lightgbm_regressor,6200,0.2691909675318701,0.2684498866246463,0.0007410809072238012
LightGBM,lightgbm_regressor,7150,0.262756987837587,0.2624570453954432,0.00029994244214381904
LightGBM,lightgbm_regressor,8100,0.2553907922338251,0.2551752612751415,0.00021553095868359629
LightGBM,lightgbm_regressor,9050,0.2539390051430776,0.253446585923544,0.0004924192195335797
LightGBM,lightgbm_regressor,10000,0.2498560988589007,0.2491121475270699,0.0007439513318308055
MLP,ann_deep_regressor,500,0.602875838356591,0.5244443383828333,0.07843149997375765
MLP,ann_deep_regressor,1450,0.3377123843331213,0.3480518924626031,-0.010339508129481811
MLP,ann_deep_regressor,2400,0.2632886028608096,0.2683915975607752,-0.005102994699965613
MLP,ann_deep_regressor,3350,0.2186978056399074,0.2226536347772571,-0.003955829137349709
MLP,ann_deep_regressor,4300,0.1953159404214665,0.1978495567472845,-0.002533616325818
MLP,ann_deep_regressor,5250,0.1996400592042499,0.1858328181293133,0.01380724107493661
MLP,ann_deep_regressor,6200,0.1773679909866026,0.1787533134751683,-0.0013853224885656823
MLP,ann_deep_regressor,7150,0.1680005106841285,0.1588568660750607,0.009143644609067803
MLP,ann_deep_regressor,8100,0.1590210202745771,0.1601633444135147,-0.0011423241389376115
MLP,ann_deep_regressor,9050,0.1480448331208235,0.1496598785162264,-0.0016150453954028865
MLP,ann_deep_regressor,10000,0.1487571864458149,0.1503293964489161,-0.0015722100031012043
