model,model_key,sample_size,mass_violation_rate_mean,nonnegative_violation_rate_mean,negative_standardized_l1_mean_mean
AdaBoost,adaboost_regressor,10000,1.0,0.0,0.0
AdaBoost,adaboost_regressor,1450,1.0,0.0,0.0
AdaBoost,adaboost_regressor,2400,1.0,0.0,0.0
AdaBoost,adaboost_regressor,3350,1.0,0.0,0.0
AdaBoost,adaboost_regressor,4300,1.0,0.0,0.0
AdaBoost,adaboost_regressor,500,1.0,0.0,0.0
AdaBoost,adaboost_regressor,5250,1.0,0.0,0.0
AdaBoost,adaboost_regressor,6200,1.0,0.0,0.0
AdaBoost,adaboost_regressor,7150,1.0,0.0,0.0
AdaBoost,adaboost_regressor,8100,1.0,0.0,0.0
AdaBoost,adaboost_regressor,9050,1.0,0.0,0.0
MLP,ann_deep_regressor,10000,1.0,0.5858000000000001,0.0425319045532363
MLP,ann_deep_regressor,1450,1.0,0.8282758620689655,0.2228795104032598
MLP,ann_deep_regressor,2400,1.0,0.6795833333333333,0.105114640296031
MLP,ann_deep_regressor,3350,1.0,0.6904477611940298,0.0811403703501045
MLP,ann_deep_regressor,4300,1.0,0.660232558139535,0.0671938376754509
MLP,ann_deep_regressor,500,1.0,0.8640000000000001,0.605333747376454
MLP,ann_deep_regressor,5250,1.0,0.667047619047619,0.0588509492959875
MLP,ann_deep_regressor,6200,1.0,0.6058064516129033,0.0495386331154677
MLP,ann_deep_regressor,7150,1.0,0.6530069930069929,0.0521331038222551
MLP,ann_deep_regressor,8100,1.0,0.5619753086419752,0.0413611065545105
MLP,ann_deep_regressor,9050,1.0,0.5878453038674033,0.0451192295857041
CatBoost,catboost_regressor,10000,1.0,0.5906,0.0636740291160291
CatBoost,catboost_regressor,1450,1.0,0.4324137931034483,0.0253561583892314
CatBoost,catboost_regressor,2400,1.0,0.51375,0.0387864647604825
CatBoost,catboost_regressor,3350,1.0,0.526865671641791,0.0476049340856132
CatBoost,catboost_regressor,4300,1.0,0.5446511627906977,0.0531178064253851
CatBoost,catboost_regressor,500,1.0,0.128,0.003447772587728
CatBoost,catboost_regressor,5250,1.0,0.564952380952381,0.0564975199338391
CatBoost,catboost_regressor,6200,1.0,0.577258064516129,0.0582738258544156
CatBoost,catboost_regressor,7150,1.0,0.5904895104895105,0.0613403101610341
CatBoost,catboost_regressor,8100,1.0,0.585925925925926,0.0627982459714119
CatBoost,catboost_regressor,9050,1.0,0.5859668508287292,0.0632603440964894
Extra Trees,extra_trees_regressor,10000,1.0,0.0,0.0
Extra Trees,extra_trees_regressor,1450,1.0,0.0,0.0
Extra Trees,extra_trees_regressor,2400,1.0,0.0,0.0
Extra Trees,extra_trees_regressor,3350,1.0,0.0,0.0
