colA,colB,colC,colD,colE,colF
XGBoost,$0.254\pm0.006$,$0.255\pm0.006$,$+0.001$,$0.935\pm0.003$,$0.935\pm0.003$
LightGBM,$0.249\pm0.008$,$0.250\pm0.007$,$+0.001$,$0.938\pm0.004$,$0.937\pm0.004$
CatBoost,$0.230\pm0.006$,$0.229\pm0.006$,$-0.001$,$0.947\pm0.002$,$0.947\pm0.002$
AdaBoost,$0.525\pm0.004$,$0.581\pm0.028$,$+0.056$,$0.724\pm0.004$,$0.660\pm0.035$
Random Forest,$0.718\pm0.005$,$0.813\pm0.020$,$+0.095$,$0.484\pm0.004$,$0.332\pm0.053$
Extra Trees,$0.563\pm0.005$,$0.608\pm0.025$,$+0.044$,$0.683\pm0.002$,$0.627\pm0.037$
SVR,$0.364\pm0.011$,$0.356\pm0.011$,$-0.008$,$0.868\pm0.002$,$0.874\pm0.002$
$k$-NN,$0.607\pm0.007$,$0.621\pm0.021$,$+0.014$,$0.632\pm0.001$,$0.613\pm0.026$
PLS,$0.721\pm0.006$,$0.745\pm0.031$,$+0.024$,$0.480\pm0.002$,$0.446\pm0.033$
Multi-task Elastic Net,$0.536\pm0.008$,$0.516\pm0.008$,$-0.020$,$0.713\pm0.003$,$0.734\pm0.003$
Multi-task Lasso,$0.536\pm0.008$,$0.516\pm0.008$,$-0.020$,$0.713\pm0.003$,$0.734\pm0.003$
MLP,$0.150\pm0.012$,$0.149\pm0.012$,$-0.002$,$0.977\pm0.003$,$0.978\pm0.003$
TabNet,$0.272\pm0.027$,$0.275\pm0.024$,$+0.003$,$0.926\pm0.013$,$0.923\pm0.014$
