colA,colB,colC,colD,colE,colF
XGBoost,100.0,39.7,$1.54\times10^{-13}$,0.00,0.300
LightGBM,100.0,39.0,$1.61\times10^{-13}$,0.00,0.301
CatBoost,100.0,59.1,$1.67\times10^{-13}$,0.00,0.242
AdaBoost,100.0,0.0,$1.47\times10^{-13}$,0.30,0.901
Random Forest,100.0,0.0,$1.73\times10^{-13}$,1.42,2.002
Extra Trees,100.0,0.0,$1.72\times10^{-13}$,0.88,1.528
SVR,100.0,76.8,$1.58\times10^{-13}$,0.01,0.363
$k$-NN,100.0,0.0,$1.62\times10^{-13}$,0.25,1.192
PLS,100.0,54.3,$1.47\times10^{-13}$,0.93,1.808
Multi-task Elastic Net,100.0,71.1,$1.56\times10^{-13}$,0.00,0.482
Multi-task Lasso,100.0,71.0,$1.72\times10^{-13}$,0.00,0.482
MLP,100.0,58.6,$1.74\times10^{-13}$,0.00,0.189
TabNet,100.0,60.5,$1.46\times10^{-13}$,0.04,0.545
