colA,colB,colC,colD,colE
XGBoost,4,$0.007$,$0.000$,$0.300$
LightGBM,3,$0.005$,$0.000$,$0.301$
CatBoost,12,$0.021$,$0.000$,$0.242$
AdaBoost,177,$0.306$,$0.300$,$0.901$
Random Forest,904,$1.565$,$1.420$,$2.002$
Extra Trees,566,$0.980$,$0.880$,$1.528$
SVR,17,$0.029$,$0.010$,$0.363$
$k$-NN,165,$0.286$,$0.250$,$1.192$
PLS,574,$0.994$,$0.930$,$1.808$
Multi-task Elastic Net,0,$0.000$,$0.000$,$0.482$
Multi-task Lasso,0,$0.000$,$0.000$,$0.482$
MLP,6,$0.010$,$0.000$,$0.189$
TabNet,61,$0.106$,$0.040$,$0.545$
