colA,colB,colC,colD,colE,colF,colG,colH
$S_{O}$,g O$_2$ m$^{-3}$,XGBoost,$0.124\pm0.008$,$0.124\pm0.008$,$-0.000\pm0.000$,$0.985\pm0.002$,$0.985\pm0.002$
$S_{O}$,g O$_2$ m$^{-3}$,LightGBM,$0.114\pm0.008$,$0.114\pm0.008$,$-0.000\pm0.000$,$0.987\pm0.002$,$0.987\pm0.002$
$S_{O}$,g O$_2$ m$^{-3}$,CatBoost,$0.101\pm0.003$,$0.101\pm0.003$,$-0.000\pm0.000$,$0.990\pm0.001$,$0.990\pm0.001$
$S_{O}$,g O$_2$ m$^{-3}$,AdaBoost,$0.428\pm0.005$,$0.429\pm0.005$,$+0.001\pm0.001$,$0.816\pm0.007$,$0.815\pm0.008$
$S_{O}$,g O$_2$ m$^{-3}$,Random Forest,$0.738\pm0.024$,$0.740\pm0.024$,$+0.002\pm0.001$,$0.455\pm0.012$,$0.453\pm0.012$
$S_{O}$,g O$_2$ m$^{-3}$,Extra Trees,$0.341\pm0.007$,$0.345\pm0.006$,$+0.004\pm0.002$,$0.884\pm0.006$,$0.881\pm0.007$
$S_{O}$,g O$_2$ m$^{-3}$,SVR,$0.207\pm0.003$,$0.202\pm0.003$,$-0.004\pm0.001$,$0.957\pm0.002$,$0.959\pm0.002$
$S_{O}$,g O$_2$ m$^{-3}$,$k$-NN,$0.552\pm0.017$,$0.552\pm0.017$,$+0.001\pm0.001$,$0.696\pm0.007$,$0.694\pm0.008$
$S_{O}$,g O$_2$ m$^{-3}$,PLS,$0.533\pm0.007$,$0.490\pm0.007$,$-0.043\pm0.006$,$0.715\pm0.014$,$0.759\pm0.009$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Elastic Net,$0.486\pm0.004$,$0.427\pm0.008$,$-0.059\pm0.008$,$0.763\pm0.011$,$0.817\pm0.004$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Lasso,$0.486\pm0.004$,$0.427\pm0.008$,$-0.059\pm0.008$,$0.763\pm0.011$,$0.817\pm0.004$
$S_{O}$,g O$_2$ m$^{-3}$,MLP,$0.091\pm0.013$,$0.090\pm0.013$,$-0.000\pm0.000$,$0.992\pm0.003$,$0.992\pm0.003$
$S_{O}$,g O$_2$ m$^{-3}$,TabNet,$0.180\pm0.011$,$0.182\pm0.016$,$+0.002\pm0.010$,$0.967\pm0.004$,$0.966\pm0.007$
$S_{F}$,g COD m$^{-3}$,XGBoost,$0.501\pm0.034$,$0.501\pm0.034$,$-0.000\pm0.000$,$0.744\pm0.046$,$0.744\pm0.046$
$S_{F}$,g COD m$^{-3}$,LightGBM,$0.521\pm0.055$,$0.521\pm0.055$,$-0.000\pm0.000$,$0.721\pm0.077$,$0.721\pm0.077$
$S_{F}$,g COD m$^{-3}$,CatBoost,$0.479\pm0.045$,$0.479\pm0.045$,$-0.000\pm0.000$,$0.768\pm0.032$,$0.768\pm0.032$
$S_{F}$,g COD m$^{-3}$,AdaBoost,$0.763\pm0.054$,$1.147\pm0.280$,$+0.384\pm0.280$,$0.414\pm0.039$,$-0.411\pm0.659$
$S_{F}$,g COD m$^{-3}$,Random Forest,$0.887\pm0.100$,$1.993\pm0.150$,$+1.107\pm0.211$,$0.214\pm0.029$,$-3.118\pm1.112$
$S_{F}$,g COD m$^{-3}$,Extra Trees,$0.762\pm0.070$,$1.679\pm0.184$,$+0.917\pm0.170$,$0.417\pm0.027$,$-1.898\pm0.713$
$S_{F}$,g COD m$^{-3}$,SVR,$0.853\pm0.105$,$0.856\pm0.104$,$+0.002\pm0.006$,$0.273\pm0.041$,$0.268\pm0.043$
$S_{F}$,g COD m$^{-3}$,$k$-NN,$0.924\pm0.088$,$1.273\pm0.222$,$+0.349\pm0.216$,$0.145\pm0.022$,$-0.682\pm0.550$
$S_{F}$,g COD m$^{-3}$,PLS,$0.980\pm0.096$,$1.833\pm0.259$,$+0.853\pm0.195$,$0.038\pm0.007$,$-2.383\pm0.652$
$S_{F}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.921\pm0.097$,$0.917\pm0.097$,$-0.003\pm0.001$,$0.152\pm0.017$,$0.158\pm0.018$
$S_{F}$,g COD m$^{-3}$,Multi-task Lasso,$0.921\pm0.097$,$0.917\pm0.097$,$-0.003\pm0.001$,$0.152\pm0.017$,$0.158\pm0.018$
$S_{F}$,g COD m$^{-3}$,MLP,$0.453\pm0.082$,$0.452\pm0.082$,$-0.001\pm0.000$,$0.793\pm0.054$,$0.794\pm0.054$
$S_{F}$,g COD m$^{-3}$,TabNet,$0.579\pm0.178$,$0.658\pm0.185$,$+0.078\pm0.152$,$0.657\pm0.168$,$0.535\pm0.268$
$S_{A}$,g COD m$^{-3}$,XGBoost,$0.293\pm0.016$,$0.293\pm0.017$,$-0.000\pm0.000$,$0.914\pm0.005$,$0.914\pm0.005$
$S_{A}$,g COD m$^{-3}$,LightGBM,$0.266\pm0.019$,$0.266\pm0.019$,$-0.000\pm0.000$,$0.929\pm0.007$,$0.929\pm0.008$
$S_{A}$,g COD m$^{-3}$,CatBoost,$0.237\pm0.023$,$0.234\pm0.023$,$-0.002\pm0.000$,$0.944\pm0.004$,$0.945\pm0.004$
$S_{A}$,g COD m$^{-3}$,AdaBoost,$0.597\pm0.031$,$0.600\pm0.032$,$+0.004\pm0.003$,$0.641\pm0.034$,$0.637\pm0.033$
$S_{A}$,g COD m$^{-3}$,Random Forest,$0.592\pm0.045$,$0.608\pm0.046$,$+0.016\pm0.006$,$0.648\pm0.028$,$0.628\pm0.030$
$S_{A}$,g COD m$^{-3}$,Extra Trees,$0.503\pm0.031$,$0.517\pm0.031$,$+0.014\pm0.006$,$0.746\pm0.010$,$0.732\pm0.015$
$S_{A}$,g COD m$^{-3}$,SVR,$0.418\pm0.033$,$0.400\pm0.034$,$-0.018\pm0.001$,$0.824\pm0.014$,$0.840\pm0.014$
$S_{A}$,g COD m$^{-3}$,$k$-NN,$0.733\pm0.060$,$0.736\pm0.061$,$+0.003\pm0.003$,$0.462\pm0.017$,$0.457\pm0.020$
$S_{A}$,g COD m$^{-3}$,PLS,$0.825\pm0.060$,$0.804\pm0.062$,$-0.021\pm0.007$,$0.319\pm0.015$,$0.353\pm0.018$
$S_{A}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.805\pm0.058$,$0.765\pm0.061$,$-0.040\pm0.005$,$0.351\pm0.016$,$0.414\pm0.013$
$S_{A}$,g COD m$^{-3}$,Multi-task Lasso,$0.805\pm0.058$,$0.765\pm0.061$,$-0.040\pm0.005$,$0.351\pm0.016$,$0.414\pm0.013$
$S_{A}$,g COD m$^{-3}$,MLP,$0.109\pm0.009$,$0.106\pm0.008$,$-0.003\pm0.002$,$0.988\pm0.000$,$0.989\pm0.000$
$S_{A}$,g COD m$^{-3}$,TabNet,$0.218\pm0.042$,$0.220\pm0.044$,$+0.002\pm0.010$,$0.951\pm0.019$,$0.950\pm0.019$
$S_{NH4}$,g N m$^{-3}$,XGBoost,$0.124\pm0.003$,$0.133\pm0.003$,$+0.008\pm0.003$,$0.985\pm0.001$,$0.982\pm0.001$
$S_{NH4}$,g N m$^{-3}$,LightGBM,$0.115\pm0.005$,$0.128\pm0.005$,$+0.013\pm0.001$,$0.987\pm0.001$,$0.984\pm0.001$
$S_{NH4}$,g N m$^{-3}$,CatBoost,$0.106\pm0.003$,$0.113\pm0.004$,$+0.007\pm0.002$,$0.989\pm0.001$,$0.987\pm0.001$
$S_{NH4}$,g N m$^{-3}$,AdaBoost,$0.423\pm0.009$,$0.471\pm0.018$,$+0.048\pm0.011$,$0.821\pm0.003$,$0.778\pm0.008$
$S_{NH4}$,g N m$^{-3}$,Random Forest,$0.718\pm0.023$,$0.522\pm0.016$,$-0.196\pm0.014$,$0.484\pm0.011$,$0.727\pm0.014$
$S_{NH4}$,g N m$^{-3}$,Extra Trees,$0.434\pm0.019$,$0.308\pm0.010$,$-0.127\pm0.015$,$0.811\pm0.009$,$0.905\pm0.006$
$S_{NH4}$,g N m$^{-3}$,SVR,$0.222\pm0.005$,$0.213\pm0.005$,$-0.010\pm0.005$,$0.950\pm0.002$,$0.955\pm0.001$
$S_{NH4}$,g N m$^{-3}$,$k$-NN,$0.566\pm0.016$,$0.490\pm0.009$,$-0.076\pm0.009$,$0.680\pm0.004$,$0.759\pm0.007$
