colA,colB,colC,colD,colE,colF,colG,colH
$S_{O}$,g O$_2$ m$^{-3}$,XGBoost,$0.389$,$0.389$,$-0.000$,$0.920$,$0.920$
$S_{O}$,g O$_2$ m$^{-3}$,LightGBM,$0.363$,$0.363$,$-0.000$,$0.930$,$0.930$
$S_{O}$,g O$_2$ m$^{-3}$,CatBoost,$0.339$,$0.339$,$-0.000$,$0.939$,$0.939$
$S_{O}$,g O$_2$ m$^{-3}$,AdaBoost,$0.730$,$0.731$,$+0.001$,$0.717$,$0.717$
$S_{O}$,g O$_2$ m$^{-3}$,Random Forest,$1.187$,$1.191$,$+0.004$,$0.253$,$0.248$
$S_{O}$,g O$_2$ m$^{-3}$,Extra Trees,$0.714$,$0.715$,$+0.001$,$0.730$,$0.729$
$S_{O}$,g O$_2$ m$^{-3}$,SVR,$0.267$,$0.268$,$+0.001$,$0.962$,$0.962$
$S_{O}$,g O$_2$ m$^{-3}$,$k$-NN,$0.827$,$0.827$,$+0.001$,$0.638$,$0.637$
$S_{O}$,g O$_2$ m$^{-3}$,PLS,$0.659$,$0.607$,$-0.052$,$0.770$,$0.805$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Elastic Net,$0.590$,$0.504$,$-0.086$,$0.815$,$0.866$
$S_{O}$,g O$_2$ m$^{-3}$,Multi-task Lasso,$0.590$,$0.504$,$-0.087$,$0.815$,$0.866$
$S_{O}$,g O$_2$ m$^{-3}$,MLP,$0.155$,$0.154$,$-0.001$,$0.987$,$0.987$
$S_{O}$,g O$_2$ m$^{-3}$,TabNet,$0.360$,$0.356$,$-0.004$,$0.931$,$0.933$
$S_{F}$,g COD m$^{-3}$,XGBoost,$1.103$,$1.103$,$+0.000$,$0.624$,$0.624$
$S_{F}$,g COD m$^{-3}$,LightGBM,$1.096$,$1.096$,$+0.000$,$0.629$,$0.629$
$S_{F}$,g COD m$^{-3}$,CatBoost,$1.018$,$1.018$,$+0.000$,$0.679$,$0.679$
$S_{F}$,g COD m$^{-3}$,AdaBoost,$1.302$,$1.311$,$+0.009$,$0.476$,$0.469$
$S_{F}$,g COD m$^{-3}$,Random Forest,$1.679$,$2.271$,$+0.592$,$0.128$,$-0.595$
$S_{F}$,g COD m$^{-3}$,Extra Trees,$1.457$,$1.599$,$+0.142$,$0.343$,$0.209$
$S_{F}$,g COD m$^{-3}$,SVR,$1.652$,$1.655$,$+0.003$,$0.156$,$0.153$
$S_{F}$,g COD m$^{-3}$,$k$-NN,$1.669$,$1.674$,$+0.005$,$0.139$,$0.134$
$S_{F}$,g COD m$^{-3}$,PLS,$1.782$,$2.108$,$+0.326$,$0.018$,$-0.373$
$S_{F}$,g COD m$^{-3}$,Multi-task Elastic Net,$1.734$,$1.720$,$-0.014$,$0.071$,$0.085$
$S_{F}$,g COD m$^{-3}$,Multi-task Lasso,$1.734$,$1.720$,$-0.014$,$0.071$,$0.085$
$S_{F}$,g COD m$^{-3}$,MLP,$0.844$,$0.843$,$-0.002$,$0.780$,$0.780$
$S_{F}$,g COD m$^{-3}$,TabNet,$0.696$,$0.689$,$-0.007$,$0.850$,$0.853$
$S_{A}$,g COD m$^{-3}$,XGBoost,$0.262$,$0.262$,$-0.000$,$0.874$,$0.875$
$S_{A}$,g COD m$^{-3}$,LightGBM,$0.233$,$0.233$,$-0.000$,$0.901$,$0.901$
$S_{A}$,g COD m$^{-3}$,CatBoost,$0.231$,$0.228$,$-0.002$,$0.903$,$0.905$
$S_{A}$,g COD m$^{-3}$,AdaBoost,$0.531$,$0.531$,$+0.000$,$0.486$,$0.485$
$S_{A}$,g COD m$^{-3}$,Random Forest,$0.443$,$0.443$,$+0.001$,$0.643$,$0.642$
$S_{A}$,g COD m$^{-3}$,Extra Trees,$0.395$,$0.394$,$-0.000$,$0.716$,$0.716$
$S_{A}$,g COD m$^{-3}$,SVR,$0.435$,$0.393$,$-0.042$,$0.655$,$0.719$
$S_{A}$,g COD m$^{-3}$,$k$-NN,$0.552$,$0.553$,$+0.000$,$0.443$,$0.443$
$S_{A}$,g COD m$^{-3}$,PLS,$0.789$,$0.586$,$-0.203$,$-0.135$,$0.373$
$S_{A}$,g COD m$^{-3}$,Multi-task Elastic Net,$0.776$,$0.549$,$-0.226$,$-0.098$,$0.450$
$S_{A}$,g COD m$^{-3}$,Multi-task Lasso,$0.776$,$0.549$,$-0.227$,$-0.098$,$0.450$
$S_{A}$,g COD m$^{-3}$,MLP,$0.136$,$0.128$,$-0.008$,$0.966$,$0.970$
$S_{A}$,g COD m$^{-3}$,TabNet,$0.344$,$0.343$,$-0.000$,$0.785$,$0.785$
$S_{NH4}$,g N m$^{-3}$,XGBoost,$0.372$,$0.273$,$-0.099$,$0.915$,$0.954$
$S_{NH4}$,g N m$^{-3}$,LightGBM,$0.357$,$0.270$,$-0.087$,$0.922$,$0.955$
$S_{NH4}$,g N m$^{-3}$,CatBoost,$0.351$,$0.256$,$-0.096$,$0.924$,$0.960$
$S_{NH4}$,g N m$^{-3}$,AdaBoost,$0.667$,$0.598$,$-0.069$,$0.726$,$0.780$
$S_{NH4}$,g N m$^{-3}$,Random Forest,$1.013$,$0.728$,$-0.285$,$0.370$,$0.674$
$S_{NH4}$,g N m$^{-3}$,Extra Trees,$0.737$,$0.458$,$-0.279$,$0.667$,$0.871$
$S_{NH4}$,g N m$^{-3}$,SVR,$0.386$,$0.358$,$-0.028$,$0.909$,$0.921$
$S_{NH4}$,g N m$^{-3}$,$k$-NN,$0.772$,$0.578$,$-0.194$,$0.634$,$0.795$
$S_{NH4}$,g N m$^{-3}$,PLS,$0.937$,$0.619$,$-0.319$,$0.461$,$0.765$
$S_{NH4}$,g N m$^{-3}$,Multi-task Elastic Net,$0.814$,$0.583$,$-0.231$,$0.593$,$0.791$
$S_{NH4}$,g N m$^{-3}$,Multi-task Lasso,$0.814$,$0.583$,$-0.231$,$0.593$,$0.791$
$S_{NH4}$,g N m$^{-3}$,MLP,$0.180$,$0.136$,$-0.044$,$0.980$,$0.989$
$S_{NH4}$,g N m$^{-3}$,TabNet,$0.192$,$0.164$,$-0.028$,$0.977$,$0.983$
$S_{NO2}$,g N m$^{-3}$,XGBoost,$0.765$,$0.731$,$-0.033$,$0.644$,$0.674$
$S_{NO2}$,g N m$^{-3}$,LightGBM,$0.771$,$0.736$,$-0.035$,$0.638$,$0.670$
$S_{NO2}$,g N m$^{-3}$,CatBoost,$0.736$,$0.696$,$-0.040$,$0.670$,$0.705$
$S_{NO2}$,g N m$^{-3}$,AdaBoost,$1.202$,$1.183$,$-0.019$,$0.120$,$0.148$
$S_{NO2}$,g N m$^{-3}$,Random Forest,$1.221$,$1.181$,$-0.040$,$0.092$,$0.150$
$S_{NO2}$,g N m$^{-3}$,Extra Trees,$0.891$,$0.829$,$-0.061$,$0.517$,$0.581$
$S_{NO2}$,g N m$^{-3}$,SVR,$0.963$,$0.800$,$-0.163$,$0.435$,$0.610$
$S_{NO2}$,g N m$^{-3}$,$k$-NN,$1.048$,$1.011$,$-0.038$,$0.331$,$0.378$
$S_{NO2}$,g N m$^{-3}$,PLS,$1.176$,$1.146$,$-0.031$,$0.157$,$0.201$
$S_{NO2}$,g N m$^{-3}$,Multi-task Elastic Net,$1.156$,$1.147$,$-0.009$,$0.186$,$0.199$
$S_{NO2}$,g N m$^{-3}$,Multi-task Lasso,$1.156$,$1.147$,$-0.009$,$0.186$,$0.199$
$S_{NO2}$,g N m$^{-3}$,MLP,$0.254$,$0.240$,$-0.014$,$0.961$,$0.965$
$S_{NO2}$,g N m$^{-3}$,TabNet,$0.471$,$0.484$,$+0.014$,$0.865$,$0.857$
$S_{NO3}$,g N m$^{-3}$,XGBoost,$0.461$,$0.429$,$-0.032$,$0.892$,$0.907$
$S_{NO3}$,g N m$^{-3}$,LightGBM,$0.454$,$0.434$,$-0.021$,$0.895$,$0.905$
$S_{NO3}$,g N m$^{-3}$,CatBoost,$0.428$,$0.399$,$-0.028$,$0.907$,$0.919$
$S_{NO3}$,g N m$^{-3}$,AdaBoost,$0.822$,$0.818$,$-0.004$,$0.657$,$0.660$
$S_{NO3}$,g N m$^{-3}$,Random Forest,$1.174$,$0.987$,$-0.187$,$0.301$,$0.506$
$S_{NO3}$,g N m$^{-3}$,Extra Trees,$0.684$,$0.619$,$-0.065$,$0.763$,$0.805$
$S_{NO3}$,g N m$^{-3}$,SVR,$0.464$,$0.429$,$-0.035$,$0.891$,$0.906$
$S_{NO3}$,g N m$^{-3}$,$k$-NN,$0.859$,$0.695$,$-0.164$,$0.625$,$0.755$
$S_{NO3}$,g N m$^{-3}$,PLS,$0.973$,$0.623$,$-0.350$,$0.519$,$0.803$
$S_{NO3}$,g N m$^{-3}$,Multi-task Elastic Net,$0.869$,$0.722$,$-0.147$,$0.617$,$0.735$
$S_{NO3}$,g N m$^{-3}$,Multi-task Lasso,$0.869$,$0.722$,$-0.147$,$0.617$,$0.736$
$S_{NO3}$,g N m$^{-3}$,MLP,$0.195$,$0.150$,$-0.045$,$0.981$,$0.989$
$S_{NO3}$,g N m$^{-3}$,TabNet,$0.330$,$0.218$,$-0.112$,$0.945$,$0.976$
$S_{N2}$,g N m$^{-3}$,XGBoost,$0.599$,$0.558$,$-0.041$,$0.758$,$0.790$
$S_{N2}$,g N m$^{-3}$,LightGBM,$0.608$,$0.548$,$-0.060$,$0.750$,$0.797$
$S_{N2}$,g N m$^{-3}$,CatBoost,$0.546$,$0.517$,$-0.029$,$0.799$,$0.820$
$S_{N2}$,g N m$^{-3}$,AdaBoost,$0.869$,$0.832$,$-0.037$,$0.490$,$0.532$
$S_{N2}$,g N m$^{-3}$,Random Forest,$1.047$,$0.942$,$-0.104$,$0.260$,$0.400$
$S_{N2}$,g N m$^{-3}$,Extra Trees,$0.750$,$0.678$,$-0.072$,$0.620$,$0.689$
