colA,colB,colC,colD,colE,colF
XGBoost,$3.457\pm2.000$,$12.458\pm4.648$,$3.6$,$0.060\pm0.002$,$0.098\pm0.015$
LightGBM,$0.707\pm0.285$,$3.957\pm0.828$,$5.6$,$0.097\pm0.019$,$0.084\pm0.012$
CatBoost,$30.592\pm3.762$,$33.303\pm5.028$,$1.1$,$0.068\pm0.006$,$0.123\pm0.052$
AdaBoost,$4.439\pm1.134$,$18.548\pm6.043$,$4.2$,$1.031\pm0.267$,$0.090\pm0.041$
Random Forest,$0.307\pm0.045$,$6.887\pm0.643$,$22.5$,$0.138\pm0.002$,$0.068\pm0.004$
Extra Trees,$0.303\pm0.023$,$2.832\pm0.605$,$9.4$,$0.146\pm0.021$,$0.105\pm0.045$
SVR,$0.054\pm0.009$,$56.021\pm12.938$,$1045.3$,$1.874\pm0.093$,$0.092\pm0.042$
$k$-NN,$0.003\pm0.001$,$0.025\pm0.013$,$7.3$,$0.157\pm0.097$,$0.140\pm0.003$
PLS,$0.012\pm0.002$,$0.166\pm0.075$,$13.7$,$0.001\pm0.000$,$0.144\pm0.013$
Multi-task Elastic Net,$0.003\pm0.001$,$0.024\pm0.004$,$7.2$,$0.001\pm0.001$,$0.141\pm0.012$
Multi-task Lasso,$0.004\pm0.001$,$0.027\pm0.006$,$7.1$,$0.001\pm0.001$,$0.139\pm0.016$
MLP,$1.451\pm0.590$,$20.459\pm10.824$,$14.1$,$0.005\pm0.003$,$0.115\pm0.046$
TabNet,$1.629\pm0.496$,$24.731\pm4.059$,$15.2$,$0.023\pm0.005$,$0.140\pm0.041$
